Author: SK
Difficulty: 2
14:59:38.336955 (557, 446, 1)
14:59:38.344948 (562, 456, 1)
14:59:38.352944 (566, 465, 1)
14:59:38.360938 (569, 471, 1)
14:59:38.368932 (573, 475, 1)
14:59:38.376933 (576, 479, 1)
14:59:38.384922 (578, 480, 1)
14:59:38.449883 (578, 481, 1)
14:59:38.457877 (581, 477, 1)
14:59:38.778017 (679, 481, 1)
14:59:38.785013 (679, 481, 1)
14:59:38.809712 (680, 481, 1)
14:59:38.817712 (680, 480, 1)
14:59:38.825702 (680, 471, 1)
14:59:38.833697 (681, 458, 1)
14:59:38.841694 (682, 447, 1)
14:59:38.849688 (682, 432, 1)
14:59:38.857682 (682, 410, 1)
14:59:38.865678 (685, 379, 1)
14:59:38.873674 (693, 342, 1)
14:59:38.882667 (694, 306, 1)
14:59:38.889664 (696, 276, 1)
14:59:38.897657 (698, 243, 1)
14:59:38.905662 (698, 218, 1)
14:59:38.915649 (699, 190, 1)
14:59:38.922643 (699, 160, 1)
14:59:38.930641 (699, 136, 1)
14:59:38.940631 (699, 108, 1)
14:59:38.948626 (699, 84, 1)
14:59:38.955622 (698, 73, 1)
14:59:38.962619 (696, 67, 1)
14:59:38.969614 (694, 62, 1)
14:59:39.033104 (694, 60, 1)
14:59:39.041099 (694, 61, 1)
14:59:39.049095 (696, 70, 1)
14:59:39.057094 (703, 96, 1)
14:59:39.065084 (708, 130, 1)
14:59:39.073080 (712, 171, 1)
14:59:39.081074 (715, 205, 1)
14:59:39.089072 (718, 236, 1)
14:59:39.097064 (721, 264, 1)
14:59:39.105060 (726, 291, 1)
14:59:39.114053 (729, 322, 1)
14:59:39.121051 (732, 345, 1)
14:59:39.129433 (737, 357, 1)
14:59:39.137426 (739, 368, 1)
14:59:39.145423 (742, 376, 1)
14:59:39.153419 (744, 383, 1)
14:59:39.161412 (746, 387, 1)
14:59:39.169406 (747, 390, 1)
14:59:39.177401 (748, 392, 1)
14:59:39.185399 (749, 395, 1)
14:59:39.193393 (750, 397, 1)
14:59:39.201390 (751, 397, 1)
14:59:39.209382 (751, 399, 1)
14:59:39.225374 (751, 400, 1)
14:59:39.233468 (751, 401, 1)
14:59:39.241464 (751, 402, 1)
14:59:39.249460 (751, 403, 1)
14:59:39.258456 (751, 405, 1)
14:59:39.265455 (752, 405, 1)
14:59:39.273445 (752, 406, 1)
14:59:39.281440 (752, 408, 1)
14:59:39.289445 (753, 408, 1)
14:59:39.297433 (753, 409, 1)
14:59:39.305426 (753, 410, 1)
14:59:39.314420 (753, 411, 1)
14:59:39.321414 (753, 414, 1)
14:59:39.329411 (753, 416, 1)
14:59:39.337405 (753, 418, 1)
14:59:39.345400 (753, 420, 1)
14:59:39.353395 (753, 421, 1)
14:59:39.361391 (754, 423, 1)
14:59:39.369389 (755, 425, 1)
14:59:39.377381 (755, 428, 1)
14:59:39.385375 (755, 429, 1)
14:59:39.393372 (755, 431, 1)
14:59:39.401366 (756, 434, 1)
14:59:39.409360 (756, 437, 1)
14:59:39.417356 (756, 440, 1)
14:59:39.425351 (757, 443, 1)
14:59:39.434347 (757, 446, 1)
