15:0:26.916  11.030,20,1,-36.088,153.457,41.484,-44.892,58.197,-11.707,-0.416,-0.878,-0.238,-0.493,0.438,-0.752,89.567,1.402,0.200,59.217,0.036,-34.365,155.147,-31.198,-21.867,161.147,-20.598,-12.526,173.612,-0.837,-1.865,197.599,41.006,-77.083,110.575,-22.493,-62.844,108.263,-8.891,-46.485,109.614,6.319,-26.652,127.205,26.264,-1.152,186.813,58.530,-96.907,118.962,-19.990,-86.429,115.222,-6.514,-66.920,113.179,14.615,-40.396,129.708,36.596,-8.663,185.221,61.651,-98.632,129.016,-1.457,-93.546,125.320,11.203,-81.755,124.389,28.442,-56.421,139.193,49.661,-21.005,186.835,66.333,-89.910,149.980,18.307,-92.225,144.304,26.133,-86.603,141.750,43.262,-68.524,152.384,60.047,-31.429,194.929,68.520,-15.449,220.622,65.140,-75.580,479.226,77.187,0.000
15:0:26.927  11.041,20,1,-36.921,153.944,41.341,-57.592,33.680,-9.875,-0.418,-0.876,-0.240,-0.489,0.439,-0.754,89.575,1.401,0.197,59.097,0.038,-35.269,155.623,-31.239,-22.733,161.542,-20.608,-13.304,173.949,-0.827,-2.573,197.953,40.989,-77.952,111.102,-22.819,-63.706,108.760,-9.156,-47.345,110.106,6.129,-27.467,127.695,26.127,-1.928,187.235,58.503,-97.745,119.484,-20.359,-87.268,115.699,-6.814,-67.757,113.639,14.422,-41.255,130.226,36.439,-9.465,185.655,61.627,-99.517,129.486,-1.673,-94.398,125.751,11.002,-82.604,124.829,28.241,-57.336,139.735,49.462,-21.853,187.283,66.279,-90.749,150.459,18.070,-93.086,144.779,25.827,-87.524,142.240,42.949,-69.479,152.938,59.789,-32.299,195.387,68.412,-16.110,221.031,65.194,-73.583,480.142,79.655,0.000
15:0:26.940  11.054,20,1,-38.532,154.422,41.001,-129.164,38.327,-27.310,-0.422,-0.873,-0.243,-0.485,0.444,-0.753,89.421,1.415,0.190,57.574,0.075,-37.625,156.111,-30.791,-24.843,161.907,-20.319,-14.987,174.172,-0.758,-3.960,198.074,40.776,-80.149,113.432,-23.605,-65.914,110.510,-9.932,-49.401,111.232,5.489,-29.075,128.249,25.679,-3.300,187.438,58.233,-99.241,121.219,-20.836,-88.854,116.831,-7.300,-69.446,114.290,13.961,-42.917,130.839,36.011,-10.913,185.912,61.387,-101.177,130.526,-1.998,-96.010,126.478,10.681,-84.234,125.391,27.894,-59.075,140.348,49.069,-23.414,187.559,66.070,-92.325,151.200,17.748,-94.687,145.482,25.485,-89.213,142.881,42.579,-71.231,153.519,59.433,-33.890,195.655,68.242,-17.318,221.164,65.202,-70.759,480.401,83.861,0.000
15:0:26.954  11.069,20,1,-40.409,155.123,40.933,-162.890,60.783,-5.834,-0.426,-0.872,-0.242,-0.481,0.445,-0.756,89.285,1.448,0.219,56.062,0.111,-39.209,155.898,-30.245,-26.502,161.584,-19.929,-16.607,174.001,-0.576,-5.613,198.409,40.635,-81.968,115.526,-24.254,-67.924,112.047,-10.357,-51.521,112.273,5.380,-30.932,128.977,25.638,-4.983,188.034,58.048,-99.961,123.264,-20.861,-90.297,118.149,-7.351,-71.361,115.068,14.017,-44.824,131.636,36.002,-12.657,186.532,61.274,-102.771,132.109,-1.853,-97.789,127.599,10.789,-86.144,126.200,28.012,-61.075,141.203,49.037,-25.274,188.207,65.979,-93.955,152.199,17.719,-96.504,146.329,25.437,-91.172,143.653,42.551,-73.273,154.393,59.344,-35.798,196.298,68.125,-18.811,221.659,65.220,-67.326,481.018,89.166,0.000
15:0:26.965  11.080,20,1,-41.959,155.521,41.012,-104.813,26.937,5.332,-0.429,-0.871,-0.238,-0.481,0.444,-0.756,89.166,1.483,0.235,55.199,0.131,-39.941,155.665,-30.102,-27.430,161.408,-19.821,-17.764,173.932,-0.505,-7.034,198.543,40.485,-83.472,117.333,-25.085,-69.645,113.308,-10.854,-53.288,113.015,5.348,-32.504,129.386,25.720,-6.346,188.383,57.856,-101.085,124.819,-20.791,-91.773,119.088,-7.286,-73.122,115.529,14.266,-46.421,132.111,36.172,-14.078,186.908,61.184,-104.202,133.698,-1.730,-99.367,128.671,10.944,-87.883,126.824,28.312,-62.680,141.716,49.263,-26.746,188.594,65.977,-95.160,153.451,17.797,-97.961,147.152,25.503,-92.771,144.158,42.719,-74.843,154.922,59.490,-37.267,196.675,68.067,-20.010,221.924,65.209,-64.439,481.257,93.129,0.000
15:0:26.976  11.091,20,1,-43.262,155.788,41.035,-116.417,23.849,2.039,-0.432,-0.871,-0.236,-0.482,0.444,-0.755,89.130,1.508,0.247,54.879,0.143,-40.930,155.863,-30.156,-28.434,161.623,-19.887,-18.822,174.126,-0.555,-8.252,198.663,40.330,-84.650,118.468,-25.642,-71.000,114.032,-11.244,-54.745,113.443,5.247,-33.883,129.683,25.719,-7.510,188.643,57.682,-102.195,125.880,-20.803,-93.076,119.727,-7.299,-74.724,115.841,14.397,-47.767,132.443,36.250,-15.244,187.185,61.075,-105.453,134.604,-1.668,-100.795,129.303,11.039,-89.405,127.212,28.527,-63.993,142.031,49.417,-27.925,188.839,65.943,-96.037,154.193,17.763,-99.100,147.629,25.480,-94.073,144.447,42.802,-76.117,155.217,59.629,-38.446,196.891,68.023,-21.011,222.101,65.252,-62.329,481.327,97.587,0.000
15:0:26.991  11.105,20,1,-44.441,155.936,41.066,-106.352,13.374,2.769,-0.434,-0.870,-0.235,-0.483,0.445,-0.754,89.084,1.525,0.251,54.316,0.155,-41.591,155.576,-30.100,-29.203,161.465,-19.841,-19.726,174.055,-0.514,-9.354,198.672,40.312,-85.805,119.494,-26.258,-72.354,114.763,-11.710,-56.131,113.883,5.079,-35.124,129.876,25.711,-8.585,188.742,57.626,-103.374,126.608,-20.823,-94.415,120.166,-7.336,-76.132,116.039,14.469,-48.984,132.658,36.293,-16.321,187.299,61.058,-106.760,135.179,-1.548,-102.242,129.708,11.153,-90.815,127.463,28.703,-65.185,142.215,49.505,-29.012,188.923,65.966,-96.887,154.694,17.759,-100.125,147.934,25.477,-95.232,144.596,42.889,-77.274,155.371,59.734,-39.526,196.948,68.060,-21.922,222.108,65.440,-60.066,481.022,102.677,0.000
15:0:27.2  11.117,20,1,-45.524,156.029,41.070,-75.684,6.501,0.311,-0.437,-0.868,-0.236,-0.483,0.448,-0.752,88.986,1.536,0.255,53.752,0.168,-42.478,155.532,-30.084,-30.077,161.407,-19.810,-20.609,173.960,-0.449,-10.332,198.528,40.338,-86.835,120.470,-27.022,-73.550,115.435,-12.306,-57.406,114.278,4.782,-36.280,130.044,25.605,-9.536,188.701,57.556,-104.355,127.091,-20.857,-95.485,120.428,-7.418,-77.315,116.158,14.477,-50.116,132.841,36.282,-17.282,187.274,61.071,-107.985,135.639,-1.426,-103.536,130.043,11.244,-92.098,127.683,28.826,-66.283,142.370,49.538,-29.981,188.887,66.007,-97.699,155.224,17.732,-101.064,148.277,25.459,-96.287,144.723,42.962,-78.327,155.478,59.807,-40.482,196.880,68.138,-22.725,221.961,65.705,-58.373,480.106,108.301,0.000
15:0:27.14  11.129,20,1,-46.617,155.883,40.992,-96.162,-12.893,-6.859,-0.440,-0.866,-0.239,-0.483,0.453,-0.750,88.844,1.544,0.252,53.060,0.182,-43.434,155.191,-30.107,-31.005,161.019,-19.799,-21.535,173.542,-0.401,-11.323,198.115,40.406,-87.946,121.306,-27.790,-74.842,115.996,-12.999,-58.711,114.549,4.309,-37.422,129.994,25.359,-10.504,188.349,57.458,-105.448,127.382,-21.088,-96.672,120.525,-7.715,-78.542,116.102,14.298,-51.248,132.789,36.131,-18.271,186.937,61.055,-109.208,135.859,-1.507,-104.786,130.130,11.157,-93.320,127.667,28.750,-67.393,142.283,49.457,-30.987,188.548,66.041,-98.520,155.490,17.604,-101.991,148.379,25.321,-97.334,144.628,42.892,-79.393,155.334,59.782,-41.472,196.522,68.218,-23.592,221.495,66.000,-57.470,478.506,113.964,0.000
15:0:27.29  11.143,20,1,-47.834,155.621,40.852,-100.194,-21.565,-11.575,-0.444,-0.863,-0.242,-0.480,0.457,-0.749,88.641,1.555,0.259,52.338,0.197,-44.406,154.719,-30.258,-31.975,160.456,-19.913,-22.512,172.914,-0.480,-12.356,197.465,40.403,-89.101,122.280,-28.615,-76.157,116.549,-13.701,-60.125,114.695,3.858,-38.692,129.786,25.089,-11.542,187.777,57.284,-106.336,127.754,-21.461,-97.824,120.631,-8.145,-79.828,115.995,13.991,-52.533,132.633,35.913,-19.356,186.413,60.943,-110.460,135.987,-1.696,-106.118,130.117,10.961,-94.703,127.571,28.594,-68.672,142.158,49.296,-32.111,188.076,65.986,-99.591,155.685,17.413,-103.159,148.444,25.127,-98.554,144.537,42.769,-80.605,155.201,59.659,-42.554,196.066,68.208,-24.490,220.844,66.171,-56.084,476.538,119.149,0.000
15:0:27.40  11.154,20,1,-49.222,154.921,40.422,-97.794,-49.299,-30.280,-0.448,-0.860,-0.245,-0.481,0.463,-0.745,88.518,1.563,0.255,52.025,0.199,-45.392,153.915,-30.709,-33.077,159.659,-20.314,-23.735,172.102,-0.879,-13.656,196.564,40.118,-90.723,122.625,-29.628,-77.953,116.651,-14.653,-61.879,114.498,3.064,-40.167,129.203,24.474,-12.779,186.851,56.862,-107.763,127.822,-22.362,-99.382,120.479,-8.978,-81.458,115.601,13.285,-53.965,132.021,35.356,-20.595,185.488,60.545,-112.260,135.822,-2.207,-107.913,129.755,10.453,-96.384,127.032,28.129,-70.062,141.484,48.849,-33.365,187.140,65.652,-101.182,155.412,17.001,-104.841,148.033,24.728,-100.150,143.921,42.517,-81.937,154.476,59.387,-43.794,195.128,68.027,-25.573,219.794,66.140,-54.538,474.335,124.131,0.000
15:0:27.51  11.166,20,1,-50.478,154.335,40.468,-109.818,-51.269,4.066,-0.457,-0.854,-0.247,-0.475,0.469,-0.745,88.349,1.577,0.266,51.552,0.213,-46.582,153.162,-30.960,-34.239,158.812,-20.455,-24.788,171.107,-0.906,-14.447,195.395,40.267,-91.859,122.943,-30.489,-79.320,116.590,-15.199,-63.467,114.127,2.945,-41.601,128.624,24.430,-13.650,185.805,56.864,-108.458,127.921,-22.460,-100.561,120.211,-9.158,-83.000,115.096,13.263,-55.445,131.548,35.356,-21.561,184.496,60.607,-113.532,135.586,-2.079,-109.393,129.392,10.510,-98.020,126.610,28.251,-71.490,141.144,48.889,-34.364,186.268,65.765,-102.491,155.601,17.125,-106.310,148.031,24.814,-101.661,143.744,42.699,-83.200,154.231,59.447,-44.678,194.355,68.171,-26.142,218.723,66.437,-51.581,471.993,129.180,0.000
15:0:27.66  11.181,20,1,-51.388,153.738,40.522,-81.867,-53.654,4.846,-0.465,-0.850,-0.247,-0.471,0.474,-0.744,88.316,1.592,0.274,51.060,0.231,-47.812,152.548,-31.133,-35.226,158.154,-20.676,-25.611,170.321,-0.995,-14.993,194.398,40.353,-92.758,123.193,-31.492,-80.572,116.479,-15.871,-64.842,113.704,2.753,-42.711,128.034,24.436,-14.230,184.922,56.863,-109.162,127.886,-22.585,-101.510,119.887,-9.330,-84.344,114.546,13.261,-56.564,131.023,35.392,-22.198,183.632,60.630,-114.460,135.475,-1.975,-110.541,129.092,10.545,-99.305,126.156,28.368,-72.526,140.713,48.990,-34.997,185.479,65.848,-103.479,155.573,17.328,-107.417,147.845,24.943,-102.790,143.396,42.912,-84.086,153.876,59.574,-45.215,193.636,68.278,-26.444,217.823,66.641,-49.035,470.317,133.086,0.000
15:0:27.79  11.193,20,1,-52.227,153.061,40.557,-54.899,-44.294,2.266,-0.470,-0.847,-0.247,-0.469,0.477,-0.743,88.249,1.602,0.276,50.583,0.245,-48.986,151.978,-31.166,-36.177,157.473,-20.790,-26.376,169.526,-1.050,-15.619,193.440,40.441,-93.575,123.162,-32.222,-81.573,116.209,-16.426,-65.915,113.200,2.506,-43.683,127.353,24.425,-14.860,184.011,56.837,-109.938,127.527,-22.679,-102.505,119.396,-9.442,-85.484,113.928,13.240,-57.533,130.395,35.405,-22.861,182.745,60.626,-115.339,135.175,-1.905,-111.574,128.654,10.561,-100.404,125.609,28.447,-73.438,140.157,49.055,-35.658,184.655,65.896,-104.398,155.238,17.637,-108.391,147.443,25.138,-103.752,142.909,43.102,-84.896,153.383,59.671,-45.812,192.875,68.360,-26.871,216.891,66.804,-47.145,468.470,136.601,0.000
15:0:27.89  11.204,20,1,-52.976,152.326,40.428,-60.868,-59.713,-10.455,-0.473,-0.846,-0.247,-0.468,0.479,-0.743,88.178,1.611,0.283,50.099,0.259,-50.069,151.312,-31.258,-37.026,156.751,-20.978,-27.055,168.709,-1.235,-16.271,192.564,40.334,-94.233,122.971,-32.772,-82.343,115.788,-16.892,-66.744,112.566,2.213,-44.494,126.638,24.263,-15.508,183.157,56.645,-110.637,127.075,-22.850,-103.357,118.827,-9.637,-86.389,113.249,13.082,-58.339,129.694,35.268,-23.528,181.896,60.457,-116.074,134.722,-1.962,-112.393,128.086,10.440,-101.269,124.941,28.370,-74.220,139.480,48.958,-36.333,183.831,65.769,-105.182,154.723,17.766,-109.208,146.858,25.183,-104.567,142.248,43.121,-85.626,152.722,59.603,-46.456,192.071,68.265,-27.397,215.982,66.762,-45.774,466.718,139.266,0.000
15:0:27.104  11.219,20,1,-53.579,151.536,40.259,-57.182,-75.043,-16.051,-0.474,-0.845,-0.246,-0.469,0.479,-0.742,88.104,1.619,0.289,49.811,0.270,-50.844,150.660,-31.469,-37.693,156.055,-21.294,-27.622,167.906,-1.522,-16.837,191.694,40.142,-94.629,122.617,-33.313,-82.914,115.263,-17.338,-67.353,111.870,1.925,-45.118,125.876,24.079,-16.057,182.320,56.390,-111.074,126.445,-23.071,-103.957,118.122,-9.885,-87.046,112.484,12.884,-58.963,128.934,35.112,-24.093,181.056,60.232,-116.584,134.065,-2.078,-112.986,127.372,10.275,-101.914,124.173,28.234,-74.838,138.721,48.833,-36.914,182.993,65.580,-105.741,154.026,17.725,-109.796,146.117,25.096,-105.183,141.468,43.028,-86.217,151.962,59.490,-47.024,191.234,68.096,-27.876,215.077,66.623,-44.788,465.035,141.347,0.000
15:0:27.116  11.231,20,1,-54.068,150.620,40.025,-32.571,-61.002,-15.553,-0.475,-0.845,-0.245,-0.468,0.479,-0.743,88.024,1.629,0.292,49.354,0.283,-51.523,149.810,-31.763,-38.257,155.188,-21.660,-28.088,166.972,-1.851,-17.300,190.701,39.887,-94.958,122.301,-34.046,-83.377,114.734,-17.950,-67.858,111.116,1.531,-45.612,124.986,23.856,-16.509,181.375,56.086,-111.368,125.779,-23.340,-104.429,117.373,-10.207,-87.577,111.632,12.609,-59.466,128.046,34.903,-24.566,180.105,59.950,-116.882,133.354,-2.298,-113.438,126.590,10.017,-102.434,123.309,27.993,-75.349,137.836,48.632,-37.407,182.042,65.319,-106.104,153.246,17.545,-110.221,145.296,24.886,-105.663,140.582,42.814,-86.708,151.080,59.285,-47.508,190.282,67.841,-28.289,214.070,66.382,-44.251,463.374,142.661,0.000
15:0:27.127  20.724,20,1,-54.480,149.689,39.734,-35.173,-79.431,-24.887,-0.475,-0.845,-0.244,-0.468,0.478,-0.743,87.952,1.638,0.293,49.152,0.288,-51.923,148.914,-32.116,-38.646,154.308,-22.050,-28.458,166.045,-2.227,-17.712,189.721,39.552,-95.213,121.706,-34.751,-83.769,114.007,-18.577,-68.293,110.262,1.075,-46.021,124.076,23.592,-16.910,180.449,55.711,-111.702,125.093,-23.731,-104.854,116.621,-10.657,-88.065,110.775,12.244,-59.879,127.137,34.648,-24.980,179.173,59.593,-117.061,132.562,-2.583,-113.785,125.773,9.692,-102.872,122.431,27.684,-75.767,136.927,48.379,-37.835,181.105,64.980,-106.184,152.397,17.289,-110.426,144.426,24.596,-106.020,139.672,42.525,-87.117,150.169,59.021,-47.932,189.336,67.503,-28.681,213.095,66.028,-44.297,461.926,143.179,0.000
